repeat,configuration,policy,threshold,n,tp,fp,tn,fn,precision,recall,fpr,f1,accuracy,auroc,fnr,coverage
2,length_only,negative_max,0.6083815040424954,6,2,1,2,1,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.8888888888888888,0.33333333333333337,1.0
2,length_only,separating_midpoint,0.615267901869277,6,2,1,2,1,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.8888888888888888,0.33333333333333337,1.0
2,repetition_only,legacy,1.0000000000000002,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.6666666666666666,1.0,1.0
2,repetition_only,negative_max,0.6623496556691884,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.6666666666666666,1.0,1.0
2,repetition_only,separating_midpoint,1.0000000000000002,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.6666666666666666,1.0,1.0
2,without_repetition,legacy,0.8613090344145173,6,1,0,3,2,1.0,0.3333333333333333,0.0,0.5,0.6666666666666666,1.0,0.6666666666666667,1.0
2,without_repetition,negative_max,0.07948613263913461,6,3,3,0,0,0.5,1.0,1.0,0.6666666666666666,0.5,1.0,0.0,1.0
2,without_repetition,separating_midpoint,0.470397583526826,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
3,original,legacy,0.7963915670777796,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
3,original,negative_max,0.25426256241112144,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
3,original,separating_midpoint,0.5253270647444505,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
3,pilot_selected,legacy,0.5167206851735455,6,2,0,3,1,1.0,0.6666666666666666,0.0,0.8,0.8333333333333334,1.0,0.33333333333333337,1.0
3,pilot_selected,negative_max,0.4778284157486923,6,3,1,2,0,0.75,1.0,0.3333333333333333,0.8571428571428571,0.8333333333333334,1.0,0.0,1.0
3,pilot_selected,separating_midpoint,0.4972745504611189,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
3,length_only,legacy,1.0000000000000002,6,0,0,3,3,,0.0,0.0,0.0,0.5,1.0,1.0,1.0
3,length_only,negative_max,0.7484645051661656,6,0,0,3,3,,0.0,0.0,0.0,0.5,1.0,1.0,1.0
3,length_only,separating_midpoint,1.0000000000000002,6,0,0,3,3,,0.0,0.0,0.0,0.5,1.0,1.0,1.0
3,repetition_only,legacy,1.0000000000000002,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.8333333333333334,1.0,1.0
3,repetition_only,negative_max,0.6213617671274174,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.8333333333333334,1.0,1.0
3,repetition_only,separating_midpoint,1.0000000000000002,6,0,0,3,3,,0.0,0.0,0.0,0.5,0.8333333333333334,1.0,1.0
3,without_repetition,legacy,0.7795167690490871,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
3,without_repetition,negative_max,0.31166744846381694,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
3,without_repetition,separating_midpoint,0.5455921087564519,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
4,original,legacy,0.8570454045845846,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
4,original,negative_max,0.28153491258189844,6,3,1,2,0,0.75,1.0,0.3333333333333333,0.8571428571428571,0.8333333333333334,1.0,0.0,1.0
4,original,separating_midpoint,0.5692901585832415,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
4,pilot_selected,legacy,0.5220407276054905,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
4,pilot_selected,negative_max,0.47932697254535034,6,3,1,2,0,0.75,1.0,0.3333333333333333,0.8571428571428571,0.8333333333333334,1.0,0.0,1.0
4,pilot_selected,separating_midpoint,0.5006838500754204,6,3,1,2,0,0.75,1.0,0.3333333333333333,0.8571428571428571,0.8333333333333334,1.0,0.0,1.0
4,length_only,legacy,0.7063168140606821,6,2,0,3,1,1.0,0.6666666666666666,0.0,0.8,0.8333333333333334,1.0,0.33333333333333337,1.0
4,length_only,negative_max,0.7050549480190537,6,2,0,3,1,1.0,0.6666666666666666,0.0,0.8,0.8333333333333334,1.0,0.33333333333333337,1.0
4,length_only,separating_midpoint,0.7063168140606821,6,2,0,3,1,1.0,0.6666666666666666,0.0,0.8,0.8333333333333334,1.0,0.33333333333333337,1.0
4,repetition_only,legacy,1.0000000000000002,6,0,0,3,3,,0.0,0.0,0.0,0.5,1.0,1.0,1.0
4,repetition_only,negative_max,0.5734907945278207,6,0,0,3,3,,0.0,0.0,0.0,0.5,1.0,1.0,1.0
4,repetition_only,separating_midpoint,1.0000000000000002,6,0,0,3,3,,0.0,0.0,0.0,0.5,1.0,1.0,1.0
4,without_repetition,legacy,0.8523051870986467,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
4,without_repetition,negative_max,0.32345667576132436,6,3,1,2,0,0.75,1.0,0.3333333333333333,0.8571428571428571,0.8333333333333334,1.0,0.0,1.0
4,without_repetition,separating_midpoint,0.5878809314299855,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
5,original,legacy,0.9166314199561587,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
5,original,negative_max,0.0027657005760120847,6,3,2,1,0,0.6,1.0,0.6666666666666666,0.75,0.6666666666666666,1.0,0.0,1.0
5,original,separating_midpoint,0.4596985602660854,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
5,pilot_selected,legacy,0.5296753355042944,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
5,pilot_selected,negative_max,0.4031714030170038,6,3,2,1,0,0.6,1.0,0.6666666666666666,0.75,0.6666666666666666,1.0,0.0,1.0
5,pilot_selected,separating_midpoint,0.4664233692606491,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
5,length_only,legacy,0.6147209727537583,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
5,length_only,negative_max,0.6134035324684365,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
5,length_only,separating_midpoint,0.6140622526110973,6,3,0,3,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
5,repetition_only,legacy,0.6129371838949635,6,3,1,2,0,0.75,1.0,0.3333333333333333,0.8571428571428571,0.8333333333333334,0.8333333333333334,0.0,1.0
5,repetition_only,negative_max,0.006974733919695959,6,3,2,1,0,0.6,1.0,0.6666666666666666,0.75,0.6666666666666666,0.8333333333333334,0.0,1.0
5,repetition_only,separating_midpoint,0.30995595890732974,6,3,1,2,0,0.75,1.0,0.3333333333333333,0.8571428571428571,0.8333333333333334,0.8333333333333334,0.0,1.0
